Longitude,Latitude,Gr_Liv_Area,Overall_Cond,Garage_Cars,Year_Built,Neighborhood,Year_Remod_Add,Sale_Price,Price_Per_Area,Score_GrLivArea,Score_GarageCars,Score_Overall_Cond,Score_year_remod,Score_Year_Built,Total_Score
-93.645743,42.009489,1229,Above_Average,2,1980,Blueste,1980,121000,98.4540276647681,4,3,3,3,4,3.4
-93.645743,42.009489,1229,Above_Average,2,1980,Blueste,1980,124000,100.89503661513426,4,3,3,3,4,3.4
-93.629851,42.051823,987,Very_Good,1,1972,Briardale,2007,118000,119.55420466058764,3,3,4,5,4,3.8
-93.629881,42.051822,1302,Good,1,1972,Briardale,1972,119500,91.78187403993856,4,3,4,2,4,3.4
-93.625589,42.033699,1290,Excellent,1,1900,Brookside,2000,106900,82.86821705426357,5,3,5,5,2,4.0
-93.623644,42.03246,1573,Good,1,1935,Brookside,1995,133000,84.5518118245391,5,3,4,4,3,3.8
-93.66798,42.026548,1473,Very_Good,1,1968,Clear_Creek,2003,143000,97.08078750848608,4,3,4,5,4,4.0
-93.674402,42.023651,1700,Average,1,1980,Clear_Creek,1981,148400,87.29411764705883,4,3,3,3,4,3.4
-93.684954,42.019691,1268,Good,1,1977,College_Creek,1989,143500,113.17034700315457,3,3,4,4,4,3.6
-93.691213,42.01915,1099,Above_Average,1,1995,College_Creek,2006,144000,131.0282074613285,2,3,3,5,5,3.6
-93.642821,42.019617,1502,Above_Average,1,1931,Crawford,2000,149000,99.20106524633822,4,3,3,5,3,3.6
-93.643215,42.019952,2002,Above_Average,3,1949,Crawford,1950,145000,72.42757242757243,5,5,3,1,3,3.4
-93.669924,42.018809,1708,Average,2,2004,Edwards,2004,130000,76.11241217798595,5,3,3,5,5,4.2
-93.669985,42.01881,1709,Average,2,2004,Edwards,2006,130000,76.06787595084845,5,3,3,5,5,4.2
-93.6225667,42.0586718,1488,Average,2,1950,Gilbert,1950,133000,89.38172043010752,4,3,3,1,3,2.8
-93.622299,42.059792,1474,Poor,2,1952,Gilbert,1952,115000,78.01899592944369,5,3,1,1,3,2.6
-93.627459,42.021806,1090,Very_Good,1,1940,Iowa_DOT_and_Rail_Road,2006,120000,110.09174311926606,3,3,4,5,3,3.6
-93.626631,42.025459,1330,Very_Good,1,1910,Iowa_DOT_and_Rail_Road,2004,116500,87.59398496240601,4,3,4,5,2,3.6
-93.681378,42.021785,1320,Average,2,1993,Landmark,1994,137000,103.78787878787878,4,3,3,4,5,3.8
-93.603601,41.991883,988,Good,1,1973,Meadow_Village,2006,105000,106.2753036437247,3,3,4,5,4,3.8
-93.604184,41.990899,1475,Good,1,1976,Meadow_Village,1976,129500,87.79661016949153,4,3,4,3,4,3.6
-93.608359,41.992193,1771,Below_Average,2,1960,Mitchell,2006,115000,64.93506493506493,5,3,2,5,4,3.8
-93.606925,41.986509,1287,Average,2,1992,Mitchell,1992,130000,101.01010101010101,4,3,3,4,5,3.8
-93.622644,42.035951,1668,Very_Good,1,1950,North_Ames,2005,140000,83.93285371702638,5,3,4,5,3,4.0
-93.622312,42.042114,1712,Average,2,1959,North_Ames,2005,145000,84.69626168224299,5,3,3,5,4,4.0
-93.625688,42.05009,1548,Average,2,1978,Northpark_Villa,1978,147000,94.96124031007751,4,3,3,3,4,3.4
-93.625696,42.050222,1456,Average,2,1978,Northpark_Villa,1978,138000,94.78021978021978,4,3,3,3,4,3.4
-93.631526,42.048762,1258,Good,2,1971,Northwest_Ames,2004,145000,115.26232114467409,3,3,4,5,4,3.8
-93.633748,42.045483,1680,Above_Average,2,1976,Northwest_Ames,1976,136905,81.49107142857143,5,3,3,3,4,3.6
-93.607058,42.027227,1521,Good,3,1910,Old_Town,2002,146500,96.31821170282709,4,5,4,5,2,4.0
-93.6051157,42.0272703,1382,Good,1,1949,Old_Town,2002,110000,79.59479015918959,5,3,4,5,3,4.0
-93.65921,42.034561,1479,Very_Good,2,1976,Sawyer,2005,130500,88.23529411764706,4,3,4,5,4,4.0
-93.660671,42.033557,1416,Good,2,1918,Sawyer,2007,112000,79.09604519774011,5,3,4,5,2,3.8
-93.6790969,42.0314606,2240,Average,2,1979,Sawyer_West,1979,142953,63.81830357142857,5,3,3,3,4,3.6
-93.679784,42.031545,1535,Average,2,1979,Sawyer_West,1979,118858,77.43192182410424,5,3,3,3,4,3.6
-93.64396,42.054514,1795,Average,3,2006,Somerset,2007,147000,81.8941504178273,5,5,3,5,5,4.6
-93.644891,42.047548,1392,Average,2,2007,Somerset,2007,146000,104.88505747126437,3,3,3,5,5,3.8
-93.651811,42.018837,1595,Average,1,1940,South_and_West_of_Iowa_State_University,2000,140000,87.7742946708464,4,3,3,5,3,3.6
-93.655762,42.022674,1296,Above_Average,1,1924,South_and_West_of_Iowa_State_University,1999,104000,80.24691358024691,5,3,3,5,2,3.6
-93.634231,42.059599,1204,Average,2,1987,Stone_Brook,1987,130000,107.9734219269103,3,3,3,4,5,3.6
-93.64978,42.001246,1344,Above_Average,2,1958,Timberland,1958,137500,102.30654761904762,4,3,3,1,4,3.0
